std_num,score
2025110407,100
2024110936,0
2025111547,100
2025110956,100
2025111603,100
2025110640,100
2025111476,91
2025110117,100
2025110331,95
2025113012,100
2025110120,100
2025110322,100
2025111248,100
2025111216,96
2024111129,100
2025112919,100
2025111200,97
2025111060,100
2025110242,99
2025112932,100
2025110162,100
2025111222,100
2025113086,84
2025110259,100
2025111196,100
2024111130,99
2025112945,100
2025110936,100
2025112903,100
2025111106,100
2025111067,100
2025111489,76
2025112721,0
2024113372,75.2
2025111259,100
2025111549,98
2025110545,100
2024111199,98
2024113295,100
2025112760,100
2025111223,100
2025112756,100
2024110742,100
2025110069,90
2025111279,100
2024111239,0
2025110791,100
2025110177,100
2025110273,96
2025110198,100
2024110543,100
2024111304,80
2025111554,100
2025113014,100
2025113277,100
2025110332,76
2025112964,100
2025111328,100
2025111291,100
2025112965,100
2025113264,100
2025110548,100
2025113029,100
2025111190,100
2025113268,100
2025110082,100
2025110283,100
2025112897,100
2025111440,100
2024110545,0
2025111331,100
2025110164,100
2025111209,100
2024111604,76
2025113017,98
2025110075,100
2025113055,100
2025110861,100
2025110166,100
2025113004,100
2025111204,100
2025110459,98
2024111321,100
2025110202,100
2025110731,100
2025111346,100
2025111018,100
2025110842,100
2025110743,100
2025110996,100
2025110107,76
2025110946,100
2025110631,76
2025111231,100
2025110844,99
2025111500,100
2025111037,98
2025110602,100
2025110843,98
2025111506,100
2025111347,100
2024110276,0
2025113010,100
2025112764,100
2025110270,100
2024110879,88
2025111529,100
2024113364,97
2024111242,100
2025110582,100
2025111205,99
2025110372,100
2025110175,96
2025113044,100
2025110286,100
2025112883,100
2025111125,100
2025110068,100
2025110626,99
2025112888,98
2025110465,76
2025111352,98
2025110889,100
2025110440,100
2025110972,100
2025110405,80
2025113009,99
2025111361,95
2025111007,100
2024113021,76
2025110431,100
2025111552,100
2024111608,100
2025110820,100
2025110827,100
2025110116,92
2025113065,100
2025110601,100
2025110934,100
2025110871,100
2025111528,100
2025111594,98
2025113022,100
2025111270,99
2025113040,100
2025111311,99
2025110103,100
2024113416,76
2025111039,100
2025112993,80
2025113005,100
2025111087,100
2025111061,100
2025110481,97
2025110220,100
2025110188,100
2025110939,100
2025110149,100
2025113076,100
2025111004,100
2025113019,100
2025111522,100
2025111038,100
2025113263,100
2025110911,100
2024110757,98
2025111386,99
2025110119,100
2025110065,100
2025110537,100
2024113425,0
2024113132,100
2025112952,100
2024111479,100
2025111302,100
2025110276,100
2025111284,97
2025110066,100
2025110926,97
2025110226,100
2025110479,100
2025111335,100
2025110275,100
2025112913,100
2025111375,100
2025110097,100
2025110255,100
2025112833,100
2024113377,80
2025110817,100
2024111108,100
2025110543,100
2025111031,100
2025111065,100
2025110441,100
2025111063,100
2024111500,100
2025111553,96
2025110558,93
2025110382,100
